,GSM2054036,GSM2054037,GSM2054038,GSM2054039,GSM2054040,GSM2054041,GSM2054042,GSM2054043
A1BG,1,3,0,0,7,10,3,12
A1CF,0,0,0,0,0,0,0,0
A2M,0,0,0,0,0,0,0,0
A3GALT2,2,8,2,0,8,14,8,10
A4GALT,18,63,9,2,14,53,12,30
A4GNT,0,0,0,0,0,0,0,0
AAAS,66,282,53,22,181,244,110,248
AACS,662,1804,670,169,1401,1495,832,1696
AADAC,0,0,0,0,0,0,2,0
AADACL2,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0
AADAT,0,0,0,0,0,0,0,0
AAED1,218,518,160,69,542,765,309,736
AAGAB,198,721,120,65,526,726,242,745
AAK1,920,2993,716,289,1106,1507,566,1310
AAMDC,122,371,101,38,515,645,227,688
AAMP,734,3071,606,279,1394,1723,726,1855
AANAT,0,1,0,1,1,2,3,3
AAR2,221,816,175,75,282,351,149,416
AARD,0,3,0,0,1,0,0,2
AARS,1115,4704,782,418,1180,1409,575,1525
AARS2,335,998,258,89,460,593,218,572
AARSD1,141,561,88,40,364,478,247,527
AASDH,85,294,78,48,284,407,159,373
AASDHPPT,382,1214,279,136,647,753,315,820
AASS,0,3,0,0,0,4,1,1
AATF,74,329,62,35,218,292,117,273
AATK,254,884,236,86,509,400,239,622
ABAT,13,26,13,5,70,98,39,66
ABCA1,2250,5466,1462,654,2571,3217,1338,3227
ABCA12,2,5,1,3,1,5,8,8
ABCA13,0,0,0,0,0,1,0,1
ABCA2,539,1374,393,159,2575,3498,1341,3368
ABCA3,347,971,255,106,1069,1632,534,1410
ABCA4,5,33,8,5,14,19,9,17
ABCA5,154,448,114,44,312,416,180,450
ABCA6,51,127,35,17,149,166,59,144
ABCA7,464,1768,423,160,557,665,285,675
ABCA9,81,258,70,25,420,585,168,428
ABCB10,312,947,223,98,1134,1389,525,1362
ABCB11,13,43,10,9,0,1,0,0
ABCB4,18,110,10,8,97,107,66,176
ABCB5,0,0,0,0,0,1,0,0
ABCB6,284,1030,165,81,521,727,322,651
ABCB7,798,2374,602,270,669,969,331,931
ABCB8,967,3195,672,312,1395,1902,817,1750
ABCB9,409,1162,281,121,328,362,141,452
ABCC1,282,1027,219,82,1007,1572,479,1293
ABCC10,327,1303,345,128,600,743,331,681
ABCC12,0,5,0,0,1,4,1,1
ABCC2,12,27,6,4,6,6,4,10
ABCC3,17,31,9,4,20,51,10,25
ABCC4,315,1536,197,105,548,963,266,747
ABCC5,282,818,289,89,856,1071,435,1099
ABCC6,0,0,0,0,0,1,0,0
ABCC8,56,176,31,26,19,17,5,23
ABCC9,940,2341,746,362,1510,1998,737,1953
ABCD1,481,1634,337,115,841,1153,396,1140
ABCD2,93,331,143,31,810,1090,404,1229
ABCD3,8194,28076,6403,2361,4352,5210,2366,5667
ABCD4,292,1039,221,79,493,681,281,640
ABCE1,1094,3838,760,372,2225,2476,927,2806
ABCF1,807,3182,660,302,1444,1694,731,1885
ABCF2,497,1856,346,176,780,789,356,1095
ABCF3,551,2000,437,189,845,944,424,1129
ABCG1,273,749,251,87,241,389,99,291
ABCG2,222,663,147,63,417,487,196,540
ABCG4,0,0,1,0,7,10,6,11
ABCG5,0,0,0,0,0,0,0,0
ABCG8,0,0,0,0,0,0,0,0
ABHD10,200,666,128,55,176,269,121,270
ABHD11,418,1570,276,118,722,1032,370,1014
ABHD12,537,1759,439,174,973,1305,479,1236
ABHD12B,2,5,4,3,2,4,1,5
ABHD13,321,1149,258,102,625,884,316,784
ABHD14A,27,127,27,11,166,213,88,203
ABHD14B,89,351,73,30,538,689,300,656
ABHD15,791,2553,601,294,579,511,264,705
ABHD16A,290,1075,251,113,1025,1270,504,1251
ABHD16B,4,31,1,3,14,13,7,18
ABHD17A,450,1583,349,128,888,1119,433,1135
ABHD17B,443,1489,336,120,439,607,231,638
ABHD17C,719,2233,494,233,695,980,378,910
ABHD18,163,506,133,49,372,461,182,418
ABHD2,290,891,200,115,461,605,220,590
ABHD3,11,32,7,1,62,77,32,88
ABHD4,964,3292,685,291,2163,2821,935,2743
ABHD5,2256,6791,1858,695,1342,1430,748,1920
ABHD6,676,2618,553,230,675,896,287,880
ABHD8,89,231,68,22,71,111,46,137
ABI1,392,1327,317,121,874,1375,470,1175
ABI2,142,423,100,39,339,456,146,439
ABI3,476,2434,565,219,550,823,267,698
ABI3BP,23,78,35,15,212,285,140,235
ABL1,442,1413,360,143,918,1336,487,1148
ABL2,267,825,191,87,625,945,342,790
ABLIM1,2404,8873,2068,1006,3689,4600,1611,4831
ABLIM2,25,85,21,10,123,224,72,226
ABLIM3,458,1202,262,146,1923,2375,895,2436
ABO,0,0,0,0,0,0,0,0
ABR,256,700,200,87,375,489,152,530
ABRA,8,2,0,2,0,1,4,27
ABRACL,95,350,64,31,231,365,130,295
ABT1,95,392,75,45,148,194,61,186
ABTB1,79,278,60,32,379,517,201,505
ABTB2,145,617,121,64,137,171,63,204
ACAA2,9762,34471,7284,2811,30908,37201,16731,40297
ACACA,9939,19092,6735,2034,14457,16181,5615,18249
ACACB,15530,43547,11918,4506,15764,19869,9244,20027
ACAD10,333,968,244,99,1615,2077,876,1988
ACAD11,2889,7769,2073,889,5273,6662,3014,7175
ACAD8,494,1513,379,141,1216,1696,744,1626
ACAD9,819,2633,573,254,1301,1694,727,1694
ACADL,20716,66613,14097,6132,35668,48486,19647,48701
ACADM,13443,37604,8515,3580,24563,30772,13535,32031
ACADS,3149,10642,2294,1008,5465,7150,2934,7513
ACADSB,1855,4929,1337,582,5421,6992,3109,7494
ACADVL,23171,79606,16194,7313,32961,43752,17695,42671
ACAN,1,9,3,1,3,4,3,9
ACAP1,11,35,19,9,71,99,36,63
ACAP2,420,1118,285,138,1006,1387,537,1298
ACAP3,103,403,99,45,295,297,143,331
ACAT1,5257,16422,3696,1580,11649,14984,6693,16169
ACAT2,1334,4151,1150,403,3366,4576,1878,4460
ACBD3,588,1940,447,177,796,1234,415,1064
ACBD4,263,1051,246,83,952,1069,505,1267
ACBD5,1324,4142,972,350,1498,1970,794,2068
ACBD6,217,833,202,73,305,435,168,391
ACBD7,0,0,0,0,0,2,1,3
ACCS,60,242,46,16,211,267,109,247
ACCSL,10,56,7,6,21,14,1,19
ACD,128,451,88,29,287,311,119,318
ACE,185,527,109,61,446,486,190,492
ACE2,8,31,6,5,10,2,5,10
ACER1,3,6,2,0,5,4,1,0
ACER2,901,2462,555,268,1610,1931,648,2120
ACER3,234,730,177,81,453,614,240,546
ACHE,3,7,2,1,25,28,19,39
ACIN1,694,2451,578,258,1767,2391,1004,2329
ACKR1,14,43,12,6,38,40,15,35
ACKR2,6,9,0,1,11,8,5,4
ACKR3,1867,6337,1398,570,1117,1819,671,1336
ACKR4,5,13,6,2,21,17,12,15
ACLY,4448,10445,3531,1147,8360,10265,3214,10361
ACMSD,3,8,2,0,10,18,8,2
ACO1,1723,5789,1404,592,4479,6133,2363,5706
ACO2,44133,138742,31055,13703,101795,134346,56778,135404
ACOD1,0,0,0,0,2,2,1,4
ACOT1,473,1986,387,180,48,44,26,53
ACOT11,6944,16092,4843,1932,1831,1706,901,2292
ACOT12,84,207,65,28,2,6,1,2
ACOT13,618,2271,421,207,1664,2289,967,2259
ACOT2,1522,6428,818,506,837,1043,500,1038
ACOT4,204,962,177,73,96,104,47,105
ACOT6,136,446,116,54,101,103,40,127
ACOT7,142,562,129,58,359,532,191,512
ACOT8,329,1252,311,107,159,205,92,205
ACOT9,558,1831,368,177,834,1134,445,1157
ACOX1,8641,25996,6767,2575,9218,10917,4630,11578
ACOX2,71,279,30,27,3,13,3,9
ACOX3,644,1902,428,160,1394,1837,701,1749
ACOXL,2,3,3,2,3,7,1,1
ACP1,534,1911,387,196,964,1242,495,1180
ACP2,473,1631,375,154,896,1077,452,1297
ACP5,1029,3929,962,283,1239,1503,753,1825
ACP6,166,493,96,44,535,663,260,702
ACP7,0,0,0,0,0,0,0,0
ACPP,7,3,6,0,12,15,3,14
ACPT,0,0,0,0,0,1,0,1
ACR,1,15,2,0,10,15,5,8
ACRBP,39,113,30,14,125,158,59,132
ACRV1,1,3,0,0,2,6,4,10
ACSBG1,4,6,2,3,14,22,13,13
ACSBG2,0,0,0,0,2,1,1,1
ACSF2,1224,4177,996,353,1198,1916,608,1603
ACSF3,1028,3350,752,305,902,1236,505,1218
ACSL1,39202,120193,32371,13033,29600,29183,14800,40580
ACSL3,426,1096,313,112,391,615,222,524
ACSL4,520,1966,497,173,618,920,328,830
ACSL5,9671,22355,7275,2772,2020,2883,1210,2794
ACSL6,2,2,0,1,0,1,1,11
ACSM1,0,0,0,0,0,0,0,0
ACSM3,76,176,56,26,5142,6161,2892,7250
ACSM4,0,0,0,0,1,0,1,0
ACSM5,1,9,1,2,50,59,33,54
ACSS1,3825,9212,2886,1046,5226,7243,3027,6482
ACSS2,1137,3727,1037,351,2593,3575,1277,3246
ACSS3,688,1088,350,159,935,1270,691,1209
ACTA1,631,357,29,306,16,11,659,10540
ACTA2,533,2503,746,340,993,1214,728,2030
ACTB,3965,13092,3463,1356,12414,18544,5912,17221
ACTBL2,0,0,0,0,0,0,0,0
ACTC1,0,9,1,2,8,11,6,46
ACTG1,3901,16871,3969,1796,9436,14742,4413,11748
ACTG2,20,99,33,14,34,32,17,35
ACTL10,0,0,0,0,1,1,0,0
ACTL6A,279,1004,203,92,459,490,208,574
ACTL6B,0,1,0,0,4,0,0,3
ACTL7A,0,0,0,0,0,1,0,0
ACTL7B,0,0,0,0,0,0,0,0
ACTL9,1,10,0,0,3,2,0,2
ACTN1,147,563,158,88,368,512,157,572
ACTN2,83,165,25,40,38,42,26,316
ACTN3,100,74,7,56,6,5,146,2108
ACTN4,3081,9642,2709,1040,6131,6801,2898,8076
ACTR10,623,2268,470,207,826,1019,442,1136
ACTR1A,1476,5593,1229,497,2349,3182,1128,3036
ACTR1B,765,2925,633,289,1688,2295,871,2221
ACTR2,987,3276,805,316,1825,2763,899,2535
ACTR3,1846,6593,1566,683,2737,3797,1365,3487
ACTR3B,6,34,1,5,10,12,8,19
ACTR5,51,176,39,22,156,150,62,177
ACTR6,189,661,134,62,346,515,172,499
ACTR8,277,1025,244,95,657,986,337,817
ACTRT1,0,0,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,0,0,0
ACTRT3,0,0,0,0,0,0,0,0
ACVR1,111,394,77,37,204,395,132,350
ACVR1B,86,263,47,23,244,279,107,316
ACVR1C,1365,3617,1125,450,2605,4718,1502,3711
ACVR2A,298,938,244,120,624,845,307,796
ACVR2B,4,27,6,3,77,80,28,64
ACVRL1,275,1029,242,102,409,558,188,553
ACY1,47,173,40,22,135,158,60,206
ACY3,153,631,121,50,365,495,192,548
ACYP1,53,176,31,13,186,257,107,223
ACYP2,333,1176,241,100,333,441,239,484
ADA,2,34,4,4,22,21,11,18
ADAD1,0,0,0,0,0,0,0,0
ADAD2,0,0,0,0,0,0,0,0
ADAL,177,529,120,49,165,191,62,205
ADAM10,483,1507,373,152,1067,1636,554,1464
ADAM11,65,276,59,36,172,174,75,191
ADAM12,4325,14012,3639,1460,1172,1410,509,1482
ADAM15,571,2062,501,238,1302,1494,575,1661
ADAM17,716,2605,574,291,781,1171,406,999
ADAM18,0,0,0,0,0,0,0,0
ADAM19,61,191,74,22,308,505,123,301
ADAM1A,33,118,23,17,82,82,60,101
ADAM1B,0,2,0,0,3,1,1,1
ADAM2,0,3,2,0,2,4,1,2
ADAM20,0,0,0,0,0,0,0,0
ADAM21,1,6,2,0,0,3,1,1
ADAM22,22,51,23,5,125,150,59,135
ADAM23,48,201,46,22,224,268,114,305
ADAM28,3,5,1,0,4,4,1,12
ADAM29,0,0,0,0,0,0,0,0
ADAM30,0,0,0,0,0,0,1,0
ADAM32,0,7,1,1,6,1,2,4
ADAM33,13,42,13,6,30,47,29,41
ADAM5,1,0,0,0,2,2,0,3
ADAM7,0,0,0,0,0,0,0,0
ADAM8,18,40,12,4,77,158,24,72
ADAM9,911,2688,688,285,1640,2572,856,2305
ADAMDEC1,0,0,0,0,0,0,0,0
ADAMTS1,571,2491,752,340,1365,1876,714,1835
ADAMTS10,156,549,138,56,329,428,181,469
ADAMTS12,52,156,59,35,171,244,60,198
ADAMTS13,0,1,0,0,4,0,0,4
ADAMTS14,1,6,10,2,17,61,18,27
ADAMTS15,17,101,30,13,72,107,39,95
ADAMTS16,0,0,0,0,15,13,3,8
ADAMTS17,2,6,4,2,8,18,9,13
ADAMTS18,1,5,0,1,1,2,1,3
ADAMTS19,0,0,0,0,0,0,0,0
ADAMTS2,156,458,105,55,405,558,188,464
ADAMTS20,2,5,2,2,17,17,9,17
ADAMTS3,6,35,9,3,7,19,7,16
ADAMTS4,70,234,62,24,129,191,65,158
ADAMTS5,249,670,174,81,403,519,161,433
ADAMTS6,4,37,9,5,44,59,19,48
ADAMTS7,20,83,27,7,90,174,62,104
ADAMTS8,0,4,2,2,3,4,3,3
ADAMTS9,696,2350,687,291,955,1202,490,1196
ADAMTSL1,15,52,16,4,58,102,29,85
ADAMTSL2,12,45,14,5,4,4,4,6
ADAMTSL3,56,151,36,16,1035,1012,753,1333
ADAMTSL4,18,60,14,10,69,82,34,80
ADAMTSL5,146,608,106,54,79,91,42,106
ADAP1,106,434,92,29,75,72,23,85
ADAP2,67,209,45,17,138,193,55,154
ADAR,157,404,127,46,590,670,232,698
ADARB1,275,793,177,85,877,1025,430,1079
ADARB2,6,6,1,1,5,12,6,18
ADAT1,53,159,38,14,119,154,67,129
ADAT2,60,209,57,20,74,73,36,89
ADAT3,13,77,5,2,81,62,48,67
ADCK1,401,1591,335,148,664,842,366,868
ADCK2,233,847,215,77,347,466,209,475
ADCK3,6724,19611,4896,1848,46213,60339,24994,62158
ADCK4,169,602,105,49,360,493,187,442
ADCK5,56,144,36,19,117,127,33,149
ADCY1,3,5,6,3,6,9,12,17
ADCY10,51,141,67,10,11,22,6,17
ADCY2,8,21,8,8,6,7,5,33
ADCY3,14658,44681,12876,5596,2747,3234,1278,3720
ADCY4,259,1084,335,116,605,637,288,724
ADCY5,23,116,41,18,212,193,114,305
ADCY6,2298,7536,1875,796,5121,7030,2866,6555
ADCY7,103,290,110,39,202,492,89,230
ADCY8,0,2,1,0,0,0,4,0
ADCY9,361,860,236,82,1133,1710,528,1378
ADCYAP1,0,0,0,0,0,0,0,0
ADCYAP1R1,57,174,50,25,375,574,184,488
ADD1,747,2341,593,220,2122,2960,1072,2824
ADD2,0,0,0,0,0,1,0,0
ADD3,873,2725,658,272,1997,2865,1055,2680
ADGB,3,2,2,2,1,10,5,14
ADGRA1,0,1,0,0,0,2,0,2
ADGRA2,55,215,57,27,168,224,82,182
ADGRA3,292,982,245,94,564,709,313,782
ADGRB1,3,1,4,0,3,6,2,5
ADGRB2,0,0,0,0,0,0,0,1
ADGRB3,4,6,3,0,12,10,5,12
ADGRD1,29,49,13,11,80,69,29,60
ADGRE1,54,239,71,23,274,668,117,294
ADGRE5,1114,4410,990,377,1190,1545,595,1468
ADGRF1,0,0,0,0,0,0,0,0
ADGRF2,4,4,1,1,4,6,3,5
ADGRF3,86,206,34,33,4,15,2,3
ADGRF4,1,3,0,1,8,6,5,8
ADGRF5,2784,8186,1861,945,5990,7287,2696,8014
ADGRG1,741,2483,582,308,1254,1514,617,1703
ADGRG2,78,240,59,27,32,48,28,43
ADGRG3,20,52,23,6,7,10,6,7
ADGRG4,1,2,2,0,3,5,3,5
ADGRG5,1,9,4,1,12,11,3,6
ADGRG6,16,55,15,2,48,88,33,67
ADGRG7,0,0,0,0,0,2,1,3
ADGRL1,103,359,105,40,318,390,140,419
ADGRL2,168,522,146,56,587,883,317,809
ADGRL3,17,32,13,6,44,70,25,59
ADGRL4,1453,4648,1135,511,1799,2341,870,2574
ADGRV1,9,19,4,2,14,27,13,10
ADH4,3,24,9,4,5,2,0,2
ADH5,791,2765,578,236,1941,2528,1068,2435
ADH7,9,28,7,1,11,11,3,7
ADHFE1,1910,4912,1221,526,4119,5235,2432,5272
ADI1,169,667,93,45,977,1304,482,1368
ADIG,746,2968,582,257,2150,2801,1110,2482
ADIPOQ,1611,4760,1659,490,16701,20141,10462,23201
ADIPOR1,1625,5616,1252,543,4266,5669,2018,5751
ADIPOR2,7780,25202,6047,2530,11233,14095,6188,15216
ADK,391,1168,265,117,1042,1354,607,1399
ADM,19,40,8,6,56,127,18,61
ADM2,1,7,1,1,1,0,0,0
ADNP,99,300,128,33,259,274,132,289
ADNP2,295,873,186,98,477,512,296,620
ADO,412,1523,339,142,449,598,224,644
ADORA1,849,1806,527,177,2639,3554,1199,3562
ADORA2A,167,682,150,84,388,622,189,588
ADORA2B,2,0,0,0,6,6,2,4
ADORA3,4,19,4,2,12,15,13,20
ADPGK,175,631,137,56,363,396,148,419
ADPRH,161,599,172,80,377,541,198,544
ADPRHL1,9,10,5,0,1,8,1,8
ADPRHL2,145,623,138,38,302,423,173,416
ADPRM,133,447,91,47,227,292,95,281
ADRA1A,1274,3198,977,363,1721,2129,943,2097
ADRA1B,0,6,1,1,3,8,4,5
ADRA1D,60,313,87,31,388,659,224,528
ADRA2A,0,2,0,1,5,10,4,3
ADRA2B,5,13,4,2,16,24,8,17
ADRA2C,2,17,2,2,7,4,4,5
ADRB1,263,884,220,73,469,831,268,583
ADRB2,29,106,20,11,358,1091,247,469
ADRB3,1049,2442,1658,361,4373,5191,1782,5951
ADRM1,661,2854,575,298,1029,1367,455,1360
ADSL,525,1733,375,168,673,864,372,1013
ADSS,538,1867,420,179,1068,1424,527,1470
ADSSL1,547,1739,432,227,1067,1598,690,1665
ADTRP,2256,9385,1739,879,644,889,425,926
AEBP1,108,300,86,35,313,388,113,381
AEBP2,460,1633,397,155,869,1183,456,1161
AEN,196,758,157,70,331,335,159,429
AES,2438,8755,2111,760,4013,5188,2069,5646
AFAP1,451,1100,321,128,550,626,273,694
AFAP1L1,252,825,232,115,774,1267,389,1066
AFAP1L2,34,117,36,19,104,145,59,157
AFF1,604,1801,436,233,1035,1446,484,1269
AFF2,3,10,3,0,20,24,9,15
AFF3,11,22,7,5,43,55,15,49
AFF4,1558,4903,1133,581,2611,3078,1154,3242
AFG3L2,3096,9291,2052,880,4193,5400,2364,5570
AFM,0,0,0,0,0,0,0,0
AFMID,22,85,17,6,47,80,31,54
AFP,0,0,0,0,0,0,0,0
AFTPH,566,1991,435,199,1016,1432,470,1327
AGA,230,780,160,70,504,690,275,611
AGAP1,139,487,97,58,383,517,168,503
AGAP2,63,267,62,40,117,159,55,143
AGAP3,226,955,190,85,687,840,330,851
AGBL1,2,7,1,0,3,7,2,8
AGBL2,68,100,40,11,10,19,7,23
AGBL3,32,130,30,6,225,303,120,309
AGBL4,3,7,1,0,1,1,2,4
AGBL5,46,160,36,18,141,198,73,177
AGER,8,23,7,1,15,17,6,14
AGFG1,543,1920,402,209,1085,1328,450,1258
AGFG2,123,436,106,45,388,599,198,497
AGGF1,529,2133,450,178,666,798,345,910
AGK,230,625,126,71,435,546,219,549
AGL,2131,6367,1529,674,2851,3809,1464,3973
AGMAT,0,0,0,0,0,0,0,0
AGMO,96,292,87,23,1255,1807,701,1764
AGO1,223,674,178,69,837,1301,462,1173
AGO2,1149,2994,837,376,2290,3180,1098,2969
AGO3,317,882,234,85,912,1214,479,1182
AGO4,87,227,61,27,199,303,84,255
AGPAT1,1624,5604,1287,545,1343,1756,712,1905
AGPAT2,16095,53913,12657,4356,5057,4518,2061,6593
AGPAT3,7633,25833,6190,2579,8495,10683,4383,10656
AGPAT4,23,62,27,3,51,68,26,48
AGPAT5,399,1381,241,143,411,455,170,490
AGPS,672,2232,521,203,923,1200,433,1201
AGR2,0,0,0,0,1,0,0,0
AGR3,0,0,0,0,0,0,0,0
AGRN,733,2125,619,232,2091,2737,1021,2732
AGRP,2,8,3,0,8,10,7,9
AGT,5,65,16,6,23,39,16,37
AGTPBP1,345,1074,288,108,897,1202,417,1233
AGTR2,0,3,0,0,1,0,0,0
AGTRAP,213,651,140,72,486,660,227,673
AGXT,0,0,0,0,0,0,0,0
AGXT2,0,1,0,0,2,0,0,1
AHCTF1,524,1738,390,192,1232,1486,624,1584
AHCY,308,1066,230,97,538,835,269,719
AHCYL1,5941,16559,4183,1716,16236,21254,8530,21625
AHCYL2,629,1944,429,165,5481,7272,2569,7265
AHDC1,252,917,198,100,757,998,419,947
AHI1,56,186,40,13,120,177,52,170
AHNAK,2708,7937,2389,1001,20182,28442,10331,24984
AHNAK2,23,64,20,11,96,106,32,80
AHR,202,639,168,78,259,389,136,357
AHRR,5,19,4,0,27,29,13,18
AHSA1,764,2845,644,262,1294,1416,562,1594
AHSA2,253,1021,237,96,965,1199,498,1215
AHSG,0,0,1,0,0,0,0,0
AICDA,1,0,1,0,5,5,2,1
AIDA,228,823,196,86,802,1054,383,1024
AIF1,6,23,7,2,26,87,20,36
AIF1L,13,49,20,4,52,55,29,64
AIFM1,1687,5303,1207,492,2427,3268,1322,3135
AIFM2,4520,15425,3473,1586,7153,9343,3741,9253
AIFM3,0,2,0,1,12,10,4,19
AIG1,448,1493,309,146,337,417,161,436
AIM1,149,408,118,58,338,415,104,454
AIM1L,1,19,2,2,24,25,10,26
AIM2,6,24,8,1,43,83,17,43
AIMP1,197,789,142,81,491,706,233,610
AIMP2,63,279,50,32,131,151,53,186
AIP,287,1137,260,105,655,827,322,819
AIPL1,0,2,0,2,4,4,3,2
AIRE,0,2,0,0,1,1,0,4
AJAP1,6,8,2,0,4,3,2,5
AJUBA,145,555,135,65,311,377,144,387
AK1,1006,3528,648,330,667,1051,405,1198
AK2,1981,7545,1879,757,3555,4912,1951,4933
AK3,3619,10607,2559,974,9119,11891,4499,11956
AK4,33,85,23,7,81,69,32,104
AK5,0,1,0,0,7,8,5,16
AK6,459,1826,361,150,629,726,297,729
AK7,0,0,0,1,1,2,0,1
AK8,1,1,0,0,1,4,1,6
AK9,1,7,0,0,12,6,2,10
AKAIN1,0,0,0,0,0,0,0,0
AKAP1,2647,8697,2309,843,10314,11925,6144,13342
AKAP10,466,1479,338,158,583,905,305,790
AKAP11,582,1682,403,191,1149,1310,484,1412
AKAP12,422,1259,418,171,896,1136,460,1253
AKAP13,777,2630,646,278,2145,2336,858,2532
AKAP14,0,2,0,0,1,0,1,0
AKAP2,1488,4019,1120,536,3095,4105,1583,4300
AKAP3,3,4,1,0,1,4,0,2
AKAP4,0,0,0,0,0,0,0,0
AKAP5,13,43,9,2,142,243,87,184
AKAP6,8,28,0,4,25,37,17,83
AKAP7,453,1171,268,146,817,1124,468,1144
AKAP8,560,2127,475,227,1437,1725,775,1849
AKAP8L,188,644,184,94,677,815,339,873
AKAP9,630,1810,463,198,1698,2146,900,1959
AKIP1,55,194,34,19,226,325,106,285
AKIRIN1,1050,3517,765,316,760,806,379,1101
AKIRIN2,145,637,145,68,530,722,283,673
AKNA,40,146,57,13,207,331,94,227
AKNAD1,1,3,0,0,1,3,3,2
AKR1A1,1817,7413,1525,589,4158,5759,2202,5641
AKR1B10,771,2374,574,248,750,1073,396,1028
AKR1D1,1,11,5,1,5,10,5,6
AKT1,1078,4135,953,431,1809,2454,914,2494
AKT1S1,396,1591,295,119,641,854,348,825
AKT2,2982,8873,2545,861,6844,8178,3691,9296
AKT3,177,540,153,67,444,552,177,529
AKTIP,352,1066,272,116,741,1118,398,993
ALAD,482,1770,365,306,756,902,338,1009
ALAS1,5185,18428,3511,1405,7598,9249,4455,10253
ALAS2,133,640,87,63,337,364,115,369
ALB,0,1,1,0,0,1,0,0
ALCAM,16,62,10,4,76,136,21,76
ALDH16A1,168,694,121,68,283,477,188,401
ALDH18A1,122,427,25,42,77,125,27,99
ALDH1A1,61,247,77,44,88,116,78,246
ALDH1A2,0,3,1,0,16,21,3,13
ALDH1A3,16,13,4,2,20,30,18,28
ALDH1B1,11,25,4,1,3,10,0,5
ALDH1L1,1084,2642,572,228,693,1133,466,917
ALDH1L2,40,179,8,18,71,134,25,81
ALDH2,2169,7029,1678,751,7275,10505,4706,10119
ALDH3A1,0,0,0,0,0,0,1,1
ALDH3A2,421,1507,363,139,905,1224,413,1080
ALDH3B1,11,44,13,5,31,79,15,47
ALDH3B2,77,244,79,28,42,39,42,70
ALDH4A1,1806,4899,1368,573,3529,4452,1986,4641
ALDH5A1,494,1473,317,147,972,1258,487,1275
ALDH6A1,3958,9356,2281,967,21364,26684,12416,29379
ALDH7A1,354,1181,277,109,797,1013,382,930
ALDH8A1,6,14,5,1,18,21,6,26
ALDH9A1,1163,3756,878,355,2083,2719,1058,2659
ALDOA,39416,150086,31175,13715,23860,32278,11774,35299
ALDOB,1,3,0,0,2,1,0,1
ALDOC,4,17,0,0,63,60,22,75
ALG1,346,1375,311,128,405,512,205,563
ALG10B,410,1112,312,131,683,1013,335,863
ALG11,141,543,109,59,302,367,167,426
ALG12,106,359,75,42,163,186,69,171
ALG13,79,255,46,34,178,257,90,236
ALG14,233,771,142,68,320,406,190,392
ALG2,246,853,220,78,429,537,216,588
ALG3,188,661,122,53,150,169,73,207
ALG5,225,826,174,60,381,495,207,457
ALG6,95,333,65,30,196,290,100,252
ALG8,69,294,62,33,71,121,35,137
ALG9,277,1032,202,96,413,570,184,612
ALK,0,0,0,0,0,0,0,0
ALKBH1,76,260,58,24,239,216,114,281
ALKBH2,48,172,22,17,27,49,13,47
ALKBH3,626,2453,436,217,325,405,136,432
ALKBH4,28,133,29,9,83,81,44,106
ALKBH5,911,2981,795,309,1606,2161,804,2125
ALKBH6,216,785,155,84,270,346,117,359
ALKBH7,236,965,206,93,357,451,195,440
ALKBH8,113,335,94,37,315,448,151,416
ALLC,0,1,0,1,2,2,3,1
ALMS1,30,93,26,11,198,271,117,245
ALOX12,31,101,26,8,40,45,17,56
ALOX12B,0,0,0,0,0,0,0,0
ALOX15,0,1,0,0,5,2,0,0
ALOX5,7,8,5,3,26,34,9,22
ALOX5AP,28,77,21,8,70,172,17,84
ALOXE3,6,16,1,1,0,3,0,2
ALPI,0,0,0,0,0,0,0,0
ALPK1,20,49,17,7,66,112,31,76
ALPK2,7,7,3,5,10,20,16,54
ALPK3,19,30,5,6,8,16,13,118
ALPL,677,2298,662,247,239,278,87,312
ALPPL2,0,0,0,0,0,0,0,0
ALS2,310,1128,254,114,408,480,215,581
ALS2CL,367,1199,291,130,638,707,303,891
ALS2CR11,0,0,0,0,0,0,0,0
ALS2CR12,294,929,191,123,182,254,129,258
ALX1,0,0,0,0,0,0,0,0
ALX3,0,0,0,0,0,0,0,0
ALX4,3,6,1,1,3,9,3,11
ALYREF,145,567,108,53,269,312,142,326
AMACR,500,1461,301,113,399,551,215,591
AMBN,0,0,0,0,0,0,0,0
AMBP,0,0,0,0,0,0,0,0
AMBRA1,292,1055,219,89,525,738,273,715
AMD1,647,2166,518,185,908,920,398,1248
AMDHD1,1,2,0,0,1,0,0,0
AMDHD2,69,368,53,28,177,234,59,234
AMELX,0,0,0,0,0,0,0,0
AMER1,83,255,71,34,621,971,349,790
AMER2,1,0,0,0,0,0,0,0
AMER3,0,0,0,0,0,0,0,0
AMFR,1277,4662,1036,451,2862,3885,1301,3609
AMH,0,0,0,0,3,8,2,7
AMHR2,0,5,1,1,4,8,6,6
AMIGO1,357,1146,276,134,667,886,337,881
AMIGO2,79,258,63,20,91,104,47,159
AMIGO3,38,134,14,11,73,71,36,80
AMMECR1,49,141,40,11,65,96,36,71
AMMECR1L,691,2562,572,255,1130,1247,579,1448
AMN,2,14,2,1,0,1,0,1
AMN1,161,472,123,37,375,536,233,484
AMOT,49,99,27,9,145,186,77,246
AMOTL1,619,1738,471,214,3872,5913,2039,5150
AMOTL2,660,2825,762,351,3554,5855,1791,4783
AMPD1,4,5,0,3,0,0,13,274
